name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Luke Freeman,322,8,0,0,0,0,0,0,0.0,-1730,0,4.9,0,0.0
Luke Harris,683,8,0,0,0,74,0,0,0.0,1555,0,4.5,2,-0.3333333333333333
Mackenzie Hunt,719,8,0,0,0,0,0,0,0.0,167,0,4.5,0,0.0
Mads Bidstrup,94,8,0,0,0,0,0,0,0.0,-119,0,4.5,0,0.0
Mahmoud Dahoud,128,8,1,0,0,244,0,0,0.1,-6487,1,4.8,11,-2.583333333333334
Malcolm Ebiowei,224,8,0,0,0,0,0,0,0.0,-3133,0,4.5,0,0.0
Manor Solomon,583,8,2,2,0,196,0,0,0.1,-3114,1,5.3,14,-4.75
Manuel Benson Hedilazio,159,8,0,0,0,65,0,0,0.1,-11795,0,5.3,3,-0.5416666666666665
Marcus Oliveira Alencar,11,8,0,0,0,0,0,0,0.1,-10175,0,4.5,0,0.0
Marcus Rashford,396,8,2,0,1,669,0,0,21.1,-2466688,1,8.8,28,-6.416666666666668
Marcus Tavernier,86,8,1,0,0,301,0,0,0.0,712,0,5.4,12,-3.416666666666666
Mario Lemina,565,8,0,0,0,707,0,0,0.0,-1112,4,4.9,10,-3.0
Martin Ødegaard,14,8,2,6,3,712,0,0,23.1,-92035,1,8.5,46,-7.333333333333332
Marvelous Nakamba,52,8,0,0,0,720,0,0,1.2,-3772,3,4.4,13,-2.208333333333334
Mason Mount,209,8,0,0,0,289,0,0,1.0,-239061,1,6.8,8,-0.08333333333333304
Mateo Kovačić,356,8,0,0,0,456,0,0,0.5,-61523,2,4.9,13,-1.458333333333334
Matheus França de Oliveira,615,8,0,0,0,0,0,0,0.0,-591,0,4.9,0,0.0
Matheus Luiz Nunes,566,8,1,0,0,360,0,0,0.2,-5570,0,5.0,10,-2.083333333333333
Mathias Jensen,106,8,2,8,3,619,0,0,2.1,116600,1,5.4,46,-7.375
Matt Ritchie,425,8,0,0,0,0,0,0,0.2,-4190,0,4.4,0,0.0
Matthew Dibley-Dias,652,8,0,0,0,0,0,0,0.0,315,0,4.5,0,0.0
Maxwel Cornet,527,8,0,0,0,1,0,0,0.1,-3706,0,5.3,1,0.0
Michael Olakigbe,620,8,0,0,0,10,0,0,0.0,399,0,4.5,3,0.0
Michael Olise,236,8,0,0,0,0,0,0,0.1,-9393,0,5.8,0,0.0
Miguel Almirón Rejala,402,8,0,2,2,564,0,0,7.3,-29135,1,6.4,27,-4.666666666666668
Mike Trésor,706,8,0,0,0,144,0,0,0.0,1558,0,5.5,5,0.06666666666666643
Mikkel Damsgaard,98,8,0,0,0,52,0,0,0.0,-7837,0,4.9,2,-0.125
Mohamed Elneny,3,8,0,0,0,0,0,0,0.1,-4605,0,4.4,0,0.0
Mohamed Salah,308,8,4,8,5,684,0,0,34.6,648560,1,12.6,59,-11.0
Mohammed Kudus,689,8,0,1,1,72,0,0,0.3,25299,0,6.5,11,1.2000000000000002
Moisés Caicedo Corozo,126,8,0,0,0,453,0,0,1.5,-169923,1,4.7,12,-2.333333333333334
Morgan Gibbs-White,447,8,2,1,0,659,0,0,1.5,-86218,2,5.8,22,-4.375
Morgan Sanson,56,8,0,0,0,0,0,0,0.0,-538,0,4.5,0,0.0
