name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points
Christian Pulisic,213,7,0,0,0,0,0,0,0.0,-371,0,5.5,0
Raheem Sterling,216,7,1,3,2,555,0,0,9.9,673521,2,7.0,29
Hakim Ziyech,218,7,0,0,0,0,0,0,0.1,-14699,0,5.4,0
Cole Palmer,362,7,1,0,0,164,0,0,0.4,20403,1,4.9,9
Ângelo Gabriel Borges Damaceno,589,7,0,0,0,0,0,0,0.0,-962,0,5.0,0
Ian Maatsen,609,7,0,0,0,80,0,0,0.1,-6397,1,5.2,4
Lesley Ugochukwu,613,7,0,0,0,132,0,0,0.3,10631,0,4.4,7
Roméo Lavia,667,7,0,0,0,0,0,0,0.0,-162,0,4.9,0
Diego Manuel Jadon da Silva Moreira,681,7,0,0,0,0,0,0,0.0,-10,0,4.5,0
Alex Matos,718,7,0,0,0,1,0,0,0.0,231,0,4.5,1
Naouirou Ahamada,219,7,0,0,0,36,0,0,0.1,-12612,0,4.4,3
Jordan Ayew,221,7,2,0,0,564,0,0,0.4,-2625,2,5.5,20
Cheick Doucouré,223,7,0,0,0,630,0,0,0.1,1546,2,5.0,15
Malcolm Ebiowei,224,7,0,0,0,0,0,0,0.0,-3103,0,4.5,0
Eberechi Eze,226,7,1,1,1,627,0,0,7.0,-840018,1,6.2,25
Will Hughes,229,7,0,0,0,271,0,0,0.0,-189,2,4.9,7
Jefferson Lerma Solís,231,7,0,0,0,360,0,0,0.1,-24313,0,4.7,9
Michael Olise,236,7,0,0,0,0,0,0,0.1,-9219,0,5.8,0
Jairo Riedewald,239,7,0,0,0,12,0,0,0.1,-1302,0,4.4,1
Jeffrey Schlupp,240,7,0,0,0,539,0,0,0.1,-3941,0,4.9,17
Matheus França de Oliveira,615,7,0,0,0,0,0,0,0.0,-582,0,4.9,0
Jesurun Rak-Sakyi,657,7,0,0,0,9,0,0,0.0,752,0,4.5,3
David Ozoh,721,7,0,0,0,0,0,0,0.0,50,0,4.5,0
André Tavares Gomes,244,7,0,0,0,0,0,0,0.2,-12349,0,4.4,0
Dele Alli,248,7,0,0,0,0,0,0,0.0,-2576,0,4.8,0
Abdoulaye Doucouré,249,7,1,2,2,588,0,0,0.9,62754,1,5.5,27
James Garner,250,7,1,2,0,526,0,0,0.1,3620,1,4.9,17
Jean-Philippe Gbamin,251,7,0,0,0,0,0,0,0.0,-1720,0,4.4,0
Demarai Gray,253,7,0,0,0,0,0,0,0.1,-26719,0,5.3,0
Idrissa Gueye,254,7,0,0,0,540,0,0,0.0,-1652,1,4.9,11
Dwight McNeil,259,7,1,0,0,275,0,0,0.1,-230,0,5.4,10
Amadou Onana,261,7,0,0,0,616,0,0,0.2,-8362,0,4.9,14
Arnaut Danjuma Groeneveld,601,7,0,0,1,359,0,0,0.2,3328,0,5.5,15
Lewis Dobbin,624,7,0,0,0,117,0,0,0.1,3096,0,4.5,5
Tyler Onyango,650,7,0,0,0,1,0,0,0.0,260,0,4.5,1
Jack Harrison,661,7,0,0,0,45,0,0,0.0,590,0,5.5,1
Mackenzie Hunt,719,7,0,0,0,0,0,0,0.0,134,0,4.5,0
Alex Iwobi,256,7,0,0,0,219,0,0,0.3,-54596,0,5.4,6
Andreas Hoelgebaum Pereira,267,7,1,0,1,479,0,0,1.2,5398,2,5.5,22
Tom Cairney,268,7,0,0,0,133,0,0,0.0,-528,0,4.9,5
Ivan Neves Abreu Cavaleiro,269,7,0,0,0,0,0,0,0.0,-941,0,5.0,0
Bobby De Cordova-Reid,270,7,1,0,1,359,0,0,0.2,-804,1,5.5,18
Tyrese Francois,272,7,0,0,0,0,0,0,0.0,-712,0,4.4,0
Anthony Knockaert,273,7,0,0,0,0,0,0,0.0,-5461,0,4.4,0
Saša Lukić,276,7,0,0,0,265,0,0,0.3,-12218,1,4.4,7
João Palhinha Gonçalves,280,7,0,3,1,383,0,0,0.4,16033,2,5.0,17
Harrison Reed,282,7,1,0,0,481,0,0,0.6,-34966,1,4.8,18
Harry Wilson,288,7,0,0,0,474,0,0,0.2,-6056,0,5.4,14
Willian Borges da Silva,591,7,1,0,0,354,0,0,0.3,-31639,1,5.3,13
Matthew Dibley-Dias,652,7,0,0,0,0,0,0,0.0,293,0,4.5,0
Adama Traoré,662,7,0,0,0,32,0,0,0.0,491,0,5.0,3
Luke Harris,683,7,0,0,0,74,0,0,0.0,1633,0,4.5,2
Stefan Bajcetic,292,7,0,0,0,0,0,0,0.0,-3062,0,4.8,0
Diogo Teixeira da Silva,294,7,2,2,2,284,0,0,1.6,-151957,1,7.8,23
Harvey Elliott,295,7,1,0,0,119,0,0,0.2,-7659,1,4.8,7
Fabio Henrique Tavares,296,7,0,0,0,0,0,0,0.0,-1046,0,5.0,0
Jordan Henderson,299,7,0,0,0,0,0,0,0.0,-752,0,5.0,0
Curtis Jones,300,7,0,0,0,278,0,0,0.1,-7494,1,4.9,5
Luis Díaz,303,7,0,1,2,454,0,0,9.5,220974,0,7.5,24
Alexis Mac Allister,304,7,1,1,0,520,0,0,4.1,-701978,3,5.9,11
Mohamed Salah,308,7,4,5,3,594,0,0,32.5,430898,1,12.6,44
Dominik Szoboszlai,309,7,1,2,1,630,0,0,5.5,105925,0,7.0,25
Thiago Alcántara do Nascimento,310,7,0,0,0,0,0,0,0.1,-15983,0,4.8,0
Bobby Clark,627,7,0,0,0,0,0,0,0.0,-348,0,4.5,0
Ben Doak,628,7,0,0,0,13,0,0,0.1,-575,0,4.4,1
James McConnell,629,7,0,0,0,0,0,0,0.0,-381,0,4.5,0
Wataru Endo,668,7,0,0,0,106,0,0,0.1,1372,0,5.5,5
Ryan Gravenberch,708,7,0,0,0,24,0,0,0.1,3999,0,5.0,3
Albert Sambi Lokonga,21,7,0,0,0,130,0,0,0.0,-740,0,4.9,3
Marvelous Nakamba,52,7,0,0,0,630,0,0,1.2,-6100,3,4.4,11
Luke Berry,317,7,0,0,0,2,0,0,0.0,-3928,0,4.8,1
Allan Campbell,319,7,0,0,0,0,0,0,0.0,-3279,0,4.9,0
Jordan Clark,320,7,0,0,0,0,0,0,0.0,-830,0,4.9,0
Luke Freeman,322,7,0,0,0,0,0,0,0.0,-1708,0,4.9,0
Carlos Mendes Gomes,325,7,0,0,0,0,0,0,0.0,-1286,0,4.5,0
Fred Onyedinma,329,7,0,0,0,0,0,0,0.0,-190,0,5.0,0
Dion Pereira,332,7,0,0,0,0,0,0,0.1,-12742,0,4.4,0
Glen Rea,334,7,0,0,0,0,0,0,0.0,-3374,0,4.4,0
Elliot Thorpe,337,7,0,0,0,0,0,0,0.0,-501,0,4.5,0
Louie Watson,339,7,0,0,0,0,0,0,0.2,-19041,0,4.4,0
Pelly Ruddock Mpanzu,582,7,0,0,0,347,0,0,0.0,-2043,0,4.9,10
Tahith Chong,586,7,0,0,0,341,0,0,0.1,-3012,2,4.9,7
Ross Barkley,630,7,0,0,0,146,0,0,0.1,-11302,0,4.9,4
Bernardo Veiga de Carvalho e Silva,344,7,1,3,1,284,0,0,1.2,-342417,1,6.3,18
Oscar Bobb,345,7,1,0,0,47,0,0,0.0,608,0,4.4,6
Shea Charles,348,7,0,0,0,0,0,0,0.0,-34,0,4.5,0
Kevin De Bruyne,349,7,0,0,0,22,0,0,1.7,-1264383,0,10.2,1
Phil Foden,353,7,3,6,1,515,0,0,13.1,387944,0,7.6,36
Jack Grealish,354,7,1,2,0,193,0,0,1.9,-371941,1,7.3,11
Mateo Kovačić,356,7,0,0,0,389,0,0,0.5,-60278,1,4.9,11
Riyad Mahrez,359,7,0,0,0,0,0,0,0.0,-5265,0,7.5,0
Máximo Perrone,363,7,0,0,0,0,0,0,0.0,-1711,0,4.4,0
Kalvin Phillips,364,7,0,0,0,70,0,0,0.0,-1676,0,4.8,3
Rodrigo Hernandez,365,7,1,5,2,480,0,0,6.3,61018,2,5.6,26
Matheus Luiz Nunes,566,7,1,0,0,338,0,0,0.2,-4599,0,5.0,9
Jérémy Doku,678,7,0,2,1,305,0,0,1.6,148306,1,6.5,13
Mason Mount,209,7,0,0,0,227,0,0,1.0,-238839,1,6.8,6
Amad Diallo,371,7,0,0,0,0,0,0,0.0,-2431,0,4.4,0
Antony Matheus dos Santos,372,7,0,0,0,308,0,0,0.6,-81417,1,6.8,8
Bruno Borges Fernandes,373,7,1,5,2,630,0,0,18.9,-691700,3,8.4,31
Carlos Henrique Casimiro,376,7,0,0,1,603,0,0,3.9,-114933,1,5.4,20
Christian Eriksen,379,7,1,4,1,329,0,0,0.6,-8664,0,5.9,21
Frederico Rodrigues de Paula Santos,381,7,0,0,0,0,0,0,0.0,-10054,0,5.0,0
Alejandro Garnacho,382,7,0,0,0,172,0,0,1.3,-123716,0,4.8,8
Hannibal Mejbri,383,7,0,0,1,116,0,0,0.3,19107,1,4.4,8
Kobbie Mainoo,388,7,0,0,0,0,0,0,0.0,-1342,0,4.4,0
Scott McTominay,392,7,0,0,0,181,0,0,0.1,-2837,0,4.8,7
Facundo Pellistri Rebollo,394,7,0,0,0,83,0,0,0.3,9571,0,4.4,5
Marcus Rashford,396,7,2,0,1,607,0,0,24.6,-2113591,1,8.8,26
Jadon Sancho,397,7,0,0,0,76,0,0,0.5,-56493,0,6.8,3
Donny van de Beek,400,7,0,0,0,2,0,0,0.0,-2495,0,4.8,1
Omari Forson,632,7,0,0,0,0,0,0,0.0,-351,0,4.5,0
Daniel Gore,685,7,0,0,0,0,0,0,0.0,130,0,4.5,0
Sofyan Amrabat,709,7,0,0,0,91,0,0,0.2,13485,1,5.0,2
Miguel Almirón Rejala,402,7,0,2,2,483,0,0,6.0,-166932,0,6.3,26
Elliot Anderson,403,7,1,0,0,307,0,0,3.8,-177063,0,4.4,16
Bruno Guimarães Rodriguez Moura,406,7,1,2,1,614,0,0,2.5,-89297,3,5.8,24
Ryan Fraser,410,7,0,0,0,0,0,0,0.0,-3519,0,4.9,0
Anthony Gordon,412,7,4,3,2,541,0,0,6.4,574585,5,5.6,37
Isaac Hayden,413,7,0,0,0,0,0,0,0.0,-3024,0,4.4,0
Jeff Hendrick,414,7,0,0,0,0,0,0,0.0,-3491,0,4.4,0
Joelinton Cássio Apolinário de Lira,416,7,0,0,0,288,0,0,0.4,-69957,1,5.8,6
Garang Kuol,418,7,0,0,0,0,0,0,0.0,-583,0,4.5,0
Sean Longstaff,421,7,2,0,1,358,0,0,0.6,32642,0,4.9,24
Jacob Murphy,423,7,1,0,0,5,0,0,0.1,-10398,0,4.8,5
Matt Ritchie,425,7,0,0,0,0,0,0,0.2,-3935,0,4.4,0
Allan Saint-Maximin,426,7,0,0,0,0,0,0,0.0,-5128,0,6.0,0
Sandro Tonali,429,7,0,0,1,326,0,0,2.3,-39040,2,5.4,13
Joe Willock,432,7,0,0,0,0,0,0,0.1,-16241,0,5.3,0
Harvey Barnes,603,7,1,2,1,183,0,0,1.5,-199978,1,6.3,17
Lewis Miley,635,7,0,0,0,0,0,0,0.0,-466,0,4.5,0
Andrey Nascimento dos Santos,186,7,0,0,0,0,0,0,0.1,-5778,0,4.4,0
Callum Hudson-Odoi,205,7,0,3,1,163,0,0,0.2,17957,0,4.9,12
Anthony Elanga,378,7,1,1,1,269,0,0,0.8,6617,0,5.0,18
Brandon Aguilera Zamora,434,7,0,0,0,0,0,0,0.0,-990,0,4.5,0
Harry Arter,435,7,0,0,0,0,0,0,0.1,-2540,0,4.4,0
Josh Bowler,440,7,0,0,0,0,0,0,0.0,-296,0,4.5,0
Danilo dos Santos de Oliveira,442,7,0,0,0,285,0,0,0.1,-7978,0,5.3,7
Remo Freuler,446,7,0,0,0,0,0,0,0.0,-1630,0,4.9,0
Morgan Gibbs-White,447,7,2,1,0,569,0,0,1.6,-84051,2,5.8,19
Cheikhou Kouyaté,451,7,0,0,0,52,0,0,0.0,-1043,1,4.9,4
Orel Mangala,453,7,0,0,0,478,0,0,0.0,-859,3,5.0,10
Alex Mighten,456,7,0,0,0,0,0,0,0.0,-1829,0,4.4,0
Lewis O'Brien,458,7,0,0,0,0,0,0,0.0,-997,0,4.9,0
Braian Ojeda Rodríguez,459,7,0,0,0,0,0,0,0.0,-327,0,4.5,0
Gustavo Henrique Furtado Scarpa,462,7,0,0,0,0,0,0,0.0,-4380,0,4.5,0
Jonjo Shelvey,463,7,0,0,0,0,0,0,0.0,-2122,0,4.8,0
Ryan Yates,470,7,0,0,0,310,0,0,0.0,-1474,1,4.9,8
Nicolás Domínguez,712,7,0,3,1,169,0,0,0.0,778,0,5.0,12
Ibrahim Sangaré,713,7,0,0,0,221,0,0,0.0,641,2,5.0,3
James McAtee,360,7,0,0,0,213,0,0,0.2,9208,1,4.4,7
Ismaila Coulibaly,478,7,0,0,0,0,0,0,0.0,-776,0,4.4,0
John Fleck,481,7,0,0,0,0,0,0,0.0,-616,0,4.9,0
Oliver Norwood,488,7,0,0,0,430,0,0,0.0,-1102,1,4.9,10
Ben Osborn,489,7,0,0,0,192,0,0,0.0,-1792,1,4.8,4
Anis Slimane,587,7,0,0,0,45,0,0,0.0,-3965,2,4.8,1
Vini de Souza Costa,638,7,0,0,0,517,0,0,0.0,-73,1,5.0,11
Andre Brooks,655,7,0,0,0,19,0,0,0.0,1041,0,4.5,2
Gustavo Hamer,663,7,0,2,2,493,0,0,0.3,23451,1,5.0,24
Tom Davies,666,7,0,0,0,57,0,0,0.0,-32,1,5.0,2
Brennan Johnson,450,7,0,0,0,310,0,0,0.3,-33601,0,5.8,9
Rodrigo Bentancur,492,7,0,0,0,0,0,0,0.0,-411,0,5.4,0
Yves Bissouma,493,7,0,0,0,612,0,0,0.6,20193,4,5.0,12
Bryan Gil Salvatierra,494,7,0,0,0,0,0,0,0.0,-274,0,4.9,0
Pierre-Emile Højbjerg,499,7,0,0,0,80,0,0,0.3,-30987,1,5.3,5
Dejan Kulusevski,501,7,0,3,2,622,0,0,2.0,38143,1,7.0,28
Giovani Lo Celso,503,7,0,0,0,16,0,0,0.0,-9230,0,4.8,1
James Maddison,504,7,4,5,2,593,0,0,34.1,2057442,2,8.0,41
Tanguy Ndombélé Alvaro,505,7,0,0,0,0,0,0,0.3,-28824,0,4.4,0
Richarlison de Andrade,509,7,2,0,1,347,0,0,1.8,-224044,2,6.7,20
Pape Matar Sarr,513,7,1,2,1,466,0,0,3.4,205895,2,4.6,21
Oliver Skipp,515,7,0,0,0,102,0,0,0.1,-13380,1,4.7,4
Son Heung-min,516,7,0,5,6,550,0,0,28.5,2111781,0,9.4,51
Manor Solomon,583,7,2,2,0,196,0,0,0.2,984,1,5.3,14
Saïd Benrahma,525,7,1,0,0,319,0,0,0.6,-40727,0,5.8,13
Jarrod Bowen,526,7,1,6,5,630,0,0,16.5,1103948,1,7.3,48
Maxwel Cornet,527,7,0,0,0,1,0,0,0.1,-3619,0,5.3,1
Conor Coventry,529,7,0,0,0,0,0,0,0.1,-1741,0,4.4,0
Flynn Downes,531,7,0,0,0,0,0,0,0.0,-1710,0,5.0,0
Pablo Fornals Malla,534,7,0,0,0,141,0,0,0.1,-4782,0,4.8,7
Lucas Tolentino Coelho de Lima,539,7,1,1,1,620,0,0,1.9,1567,3,6.0,22
Tomáš Souček,542,7,1,2,1,467,0,0,0.7,-41884,1,4.9,21
Nikola Vlašić,543,7,0,0,0,0,0,0,0.1,-12015,0,4.5,0
Edson Álvarez Velázquez,642,7,0,0,0,410,0,0,0.1,-955,4,5.0,8
James Ward-Prowse,664,7,3,4,2,530,0,0,13.6,1252419,1,6.3,35
Mohammed Kudus,689,7,0,0,0,58,0,0,0.3,23747,0,6.5,4
Tommy Doyle,351,7,0,0,0,14,0,0,0.0,307,0,4.4,2
Francisco Jorge Tomás Oliveira,549,7,0,0,0,0,0,0,0.0,-648,0,4.5,0
Luke Cundle,550,7,0,0,0,0,0,0,0.0,-1628,0,4.5,0
Gonçalo Manuel Ganchinho Guedes,554,7,0,0,0,0,0,0,0.0,-6155,0,5.4,0
Joe Hodge,555,7,0,0,0,0,0,0,0.1,-3501,0,4.4,0
Hwang Hee-chan,557,7,0,2,4,326,0,0,0.4,26157,2,5.4,28
João Victor Gomes da Silva,559,7,1,0,0,556,0,0,0.1,-1008,3,4.9,14
Bruno Cavaco Jordão,561,7,0,0,0,0,0,0,0.2,-5366,0,4.4,0
Mario Lemina,565,7,0,0,0,617,0,0,0.0,-906,4,4.9,11
Pedro Lomba Neto,567,7,5,5,1,630,0,0,6.3,566924,2,5.7,38
Daniel Castelo Podence,568,7,0,0,0,0,0,0,0.1,-9764,0,5.3,0
Pablo Sarabia,570,7,1,0,0,172,0,0,0.1,-3310,0,4.9,9
Boubacar Traoré,574,7,0,0,0,70,0,0,0.5,-10286,0,4.4,4
Enso González,698,7,0,0,0,0,0,0,0.0,148,0,5.0,0
Jean-Ricner Bellegarde,715,7,0,0,0,114,0,0,0.0,584,0,5.0,0
