name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Danny Ings,30,1,0,0,1,65,0,0,0,180366.0,70.0,0,1,1,0.0
Danny Ings,30,2,1,1,0,77,0,0,0,168411.0,70.0,-31634,1,6,0.0
Danny Ings,30,3,0,0,1,24,0,0,0,208449.0,70.0,19882,0,1,0.0
Danny Ings,30,4,0,0,1,77,0,0,0,177396.0,69.0,-35545,0,2,-0.1666666666666665
Danny Ings,30,5,0,0,0,7,0,0,0,150158.0,69.0,-31233,0,1,-0.7999999999999998
Danny Ings,30,6,0,0,0,0,0,0,0,120463.0,68.0,-32114,0,0,0.5
Danny Ings,30,8,0,0,0,6,0,0,0,112626.0,67.0,1884,0,1,0.7142857142857142
Danny Ings,30,9,0,0,0,7,0,0,0,104695.0,67.0,-8106,0,1,0.9583333333333334
Danny Ings,30,10,0,0,0,25,0,0,0,105740.0,67.0,-218,0,1,0.8888888888888891
Danny Ings,30,11,0,0,2,90,0,0,0,102150.0,67.0,-4332,0,2,0.6000000000000001
Danny Ings,30,12,0,0,2,68,0,0,0,104260.0,67.0,-469,0,2,0.3030303030303032
Danny Ings,30,13,3,1,0,90,0,0,0,99612.0,66.0,-3250,1,12,0.8333333333333333
Danny Ings,30,14,0,0,4,90,0,0,0,121391.0,66.0,19592,0,2,-2.8717948717948723
Danny Ings,30,15,0,0,0,11,0,0,0,130383.0,66.0,7940,0,1,-2.976190476190476
Danny Ings,30,16,3,0,1,82,0,0,0,138342.0,66.0,7078,0,13,-1.9333333333333331
Danny Ings,30,17,0,0,0,4,0,0,0,201134.0,66.0,57936,0,1,-2.395833333333333
Danny Ings,30,18,0,0,0,8,0,0,0,176946.0,65.0,-24241,0,1,-2.176470588235294
Danny Ings,30,19,3,0,0,24,0,0,0,163134.0,65.0,-14260,0,8,-1.8888888888888888
Danny Ings,30,20,0,0,1,58,0,0,0,177743.0,64.0,12534,0,1,-0.3333333333333335
Danny Ings,30,21,0,0,0,18,0,0,0,183657.0,64.0,5370,0,1,-0.4333333333333335
Danny Ings,30,22,0,0,0,9,0,0,0,152419.0,64.0,-30984,0,1,-0.5238095238095242
Danny Ings,30,23,0,0,0,23,0,0,0,145197.0,64.0,-8123,0,1,1.7272727272727268
Danny Ings,30,24,0,0,1,18,0,0,0,139833.0,64.0,-5857,0,1,1.652173913043478
Danny Ings,30,25,3,1,0,83,0,0,0,151144.0,64.0,5950,0,13,2.083333333333333
Danny Ings,30,26,0,0,4,90,0,0,0,209223.0,64.0,60617,0,2,-1.96
Danny Ings,30,27,0,0,1,85,0,0,0,197892.0,64.0,-10782,0,2,-2.333333333333333
Danny Ings,30,29,0,1,0,64,0,0,0,247575.0,64.0,56995,0,2,-2.7037037037037037
Danny Ings,30,29,0,0,2,27,0,0,0,247575.0,64.0,56995,0,1,0.8928571428571428
Danny Ings,30,30,0,1,0,60,0,0,0,208152.0,64.0,-31000,0,2,1.1954022988505748
Danny Ings,30,31,0,0,0,0,0,0,0,187620.0,64.0,-20831,0,0,1.1
Danny Ings,30,32,0,0,0,25,0,0,0,180777.0,64.0,-5949,0,1,1.7096774193548383
Danny Ings,30,33,0,0,0,20,0,0,0,172768.0,64.0,-9593,0,1,1.65625
Danny Ings,30,34,0,0,0,21,0,0,0,184014.0,64.0,7552,0,1,1.93939393939394
Danny Ings,30,34,0,0,2,23,0,0,0,184014.0,64.0,7552,0,1,1.5588235294117645
Danny Ings,30,35,0,0,0,0,0,0,0,166476.0,64.0,-14149,0,0,1.4857142857142858
Danny Ings,30,36,0,0,2,82,0,0,0,156707.0,63.0,-9882,0,2,1.8055555555555558
Danny Ings,30,37,0,0,1,90,0,0,0,156402.0,63.0,-578,0,5,1.5405405405405403
Danny Ings,30,38,0,0,0,28,0,0,0,157926.0,63.0,1118,1,3,0.2192982456140351
Ollie Watkins,40,1,0,0,1,24,0,0,0,324554.0,75.0,0,0,1,0.0
Ollie Watkins,40,2,3,0,1,90,0,0,0,257270.0,74.0,-84327,0,11,0.0
Ollie Watkins,40,3,0,0,3,90,0,0,0,355958.0,74.0,64527,0,6,0.0
Ollie Watkins,40,4,0,0,1,90,0,0,0,395239.0,74.0,19227,0,2,-1.0
Ollie Watkins,40,5,0,0,2,90,0,0,0,322483.0,74.0,-73732,0,2,-1.9333333333333331
Ollie Watkins,40,6,0,0,1,90,0,0,0,245001.0,73.0,-81271,0,2,0.6666666666666665
Ollie Watkins,40,8,0,1,0,90,0,0,0,214492.0,73.0,-16312,0,2,1.7142857142857144
Ollie Watkins,40,9,0,1,0,90,0,0,0,218180.0,72.0,-1987,0,2,1.5
Ollie Watkins,40,10,0,0,1,90,0,0,0,258318.0,72.0,37052,0,2,1.3333333333333337
Ollie Watkins,40,11,0,0,2,90,0,0,0,229338.0,72.0,-27074,0,2,1.2000000000000002
Ollie Watkins,40,12,0,0,3,90,0,0,0,245548.0,72.0,3176,0,2,1.0909090909090908
Ollie Watkins,40,13,0,1,0,80,0,0,0,206915.0,72.0,-27463,0,6,1.3333333333333337
Ollie Watkins,40,14,0,0,4,90,0,0,0,194946.0,72.0,-12982,1,1,-0.1794871794871797
Ollie Watkins,40,15,0,0,1,77,0,0,0,194829.0,71.0,-1193,0,5,0.2857142857142856
Ollie Watkins,40,16,0,0,0,0,0,0,0,264204.0,71.0,66643,0,0,-0.9333333333333332
Ollie Watkins,40,17,0,0,3,90,0,0,0,228695.0,71.0,-35601,0,6,1.25
Ollie Watkins,40,18,0,1,0,90,0,0,0,236972.0,71.0,6776,0,5,-0.3137254901960782
Ollie Watkins,40,19,0,0,1,66,0,0,0,298234.0,71.0,58910,0,2,-0.3888888888888888
Ollie Watkins,40,20,0,0,0,31,0,0,0,341152.0,71.0,41870,0,1,-1.1754385964912275
Ollie Watkins,40,21,2,1,0,90,0,0,0,253201.0,71.0,-86913,0,8,0.7333333333333334
Ollie Watkins,40,22,2,0,4,90,0,0,0,277063.0,71.0,19484,0,11,0.0952380952380953
Ollie Watkins,40,23,1,0,3,90,0,0,0,286114.0,71.0,7687,0,7,-2.7575757575757582
Ollie Watkins,40,24,2,0,2,77,0,0,0,334770.0,71.0,46237,0,8,-4.579710144927535
Ollie Watkins,40,25,0,1,0,90,0,0,0,762374.0,72.0,321446,0,6,-4.499999999999999
Ollie Watkins,40,26,0,1,0,84,0,0,0,1001810.0,73.0,341753,0,2,-2.92
Ollie Watkins,40,27,2,0,1,84,0,0,0,961872.0,73.0,-38026,0,8,-1.1025641025641022
Ollie Watkins,40,28,0,1,0,90,0,0,0,1838422.0,74.0,687978,0,5,-1.0740740740740735
Ollie Watkins,40,29,2,1,0,90,0,0,0,1856828.0,75.0,174995,0,8,-0.6071428571428568
Ollie Watkins,40,29,3,0,1,90,0,0,0,1856828.0,75.0,174995,0,9,-2.4482758620689653
Ollie Watkins,40,30,2,1,0,90,0,0,0,2222772.0,76.0,382992,1,7,-2.7
Ollie Watkins,40,31,3,1,0,90,0,0,0,2195892.0,76.0,-25861,0,16,-3.0
Ollie Watkins,40,32,0,0,1,90,0,0,0,2800108.0,77.0,493587,0,2,-5.760416666666666
Ollie Watkins,40,33,0,1,0,90,0,0,0,2719611.0,77.0,28373,0,2,-3.515151515151516
Ollie Watkins,40,34,0,0,1,90,0,0,0,2237586.0,77.0,-385331,0,2,-1.9313725490196083
Ollie Watkins,40,35,0,0,1,90,0,0,0,2234137.0,76.0,-106016,1,1,2.6285714285714294
Ollie Watkins,40,36,0,0,1,90,0,0,0,1573673.0,74.0,-653892,1,4,2.9444444444444438
Ollie Watkins,40,37,0,1,0,86,0,0,0,1407589.0,73.0,-154940,0,0,2.1531531531531534
Ollie Watkins,40,38,3,0,1,90,0,0,0,1467171.0,73.0,33970,0,9,2.9385964912280698
Keinan Davis,52,1,0,0,0,0,0,0,0,16243.0,55.0,0,0,0,0.0
Keinan Davis,52,2,0,0,0,0,0,0,0,11422.0,54.0,-5500,0,0,0.0
Keinan Davis,52,3,0,0,0,0,0,0,0,8392.0,54.0,-3283,0,0,0.0
Keinan Davis,52,4,0,0,0,0,0,0,0,6998.0,54.0,-1490,0,0,0.0
Keinan Davis,52,5,0,0,0,0,0,0,0,6241.0,54.0,-783,0,0,0.0
Keinan Davis,52,6,0,0,0,0,0,0,0,5540.0,54.0,-706,0,0,0.0
