name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points
Auston Trusty,27,8,0,0,0,5,105,0,0,0,1.0,-847,0,3.9,2
Anel Ahmedhodžić,471,8,0,0,0,22,720,0,0,0,0.3,-18074,3,4.3,3
George Baldock,473,8,0,0,0,4,250,0,0,0,5.9,-754480,1,3.9,4
Chris Basham,474,8,0,0,0,6,316,0,0,0,0.9,36092,1,4.0,8
Jayden Bogle,476,8,0,1,1,9,317,0,0,0,0.1,2441,0,4.5,18
John Egan,480,8,0,0,0,17,482,0,0,0,0.1,-7280,2,4.4,1
Max Lowe,484,8,0,0,0,2,124,0,0,0,0.0,-5025,0,4.4,3
Rhys Norrington-Davies,487,8,0,0,0,0,0,0,0,0,0.1,992,0,3.9,0
Jack Robinson,576,8,0,1,0,22,674,0,0,0,0.1,-1789,2,4.5,6
Yasser Larouci,592,8,0,0,0,7,219,0,0,0,0.1,-2083,0,4.4,4
Femi Seriki,653,8,0,0,0,0,0,0,0,0,0.1,1308,0,4.0,0
Luke Thomas,693,8,0,0,0,13,357,0,0,0,0.1,3368,0,4.0,3
Ben Davies,495,8,0,1,0,0,43,0,0,0,0.5,-32071,0,4.3,7
Eric Dier,496,8,0,0,0,0,0,0,0,0,0.5,-55388,0,4.2,0
Emerson Leite de Souza Junior,497,8,1,0,0,3,111,0,0,0,1.0,-10691,0,4.5,12
Pedro Porro,506,8,3,2,3,6,627,0,0,0,10.9,824859,1,5.1,32
Ivan Perišić,507,8,0,1,0,1,98,0,0,0,1.1,-204188,2,4.8,6
Joe Rodon,510,8,0,0,0,0,0,0,0,0,0.1,-11987,0,4.0,0
Cristian Romero,511,8,3,0,3,6,643,1,0,0,16.6,1356909,2,4.8,36
Davinson Sánchez,512,8,0,0,0,2,76,0,0,0,0.1,-10924,1,4.4,0
Ryan Sessegnon,514,8,0,0,0,0,0,0,0,0,0.0,-385,0,4.4,0
Djed Spence,517,8,0,0,0,0,0,0,0,0,0.3,-31457,0,4.0,0
Japhet Tanganga,518,8,0,0,0,0,0,0,0,0,0.5,-42246,0,4.0,0
Destiny Udogie,519,8,4,2,3,8,673,0,0,0,20.7,1770988,3,4.9,32
Micky van de Ven,639,8,4,0,3,8,720,0,0,0,2.0,152236,1,4.5,34
Ashley Phillips,702,8,0,0,0,0,0,0,0,0,0.1,3597,0,4.0,0
Nayef Aguerd,522,8,0,0,1,11,606,0,0,0,0.8,7436,0,4.5,18
Vladimír Coufal,528,8,4,4,1,12,716,0,0,0,2.0,166385,0,4.5,33
Aaron Cresswell,530,8,0,0,0,0,0,0,0,0,0.4,-59425,0,4.2,0
Emerson Palmieri dos Santos,532,8,2,2,1,12,720,0,0,0,0.7,24723,4,4.5,21
Ben Johnson,536,8,0,0,0,0,0,0,0,0,0.1,-3083,0,4.4,0
Thilo Kehrer,537,8,0,0,0,1,18,0,0,0,0.1,-5948,1,4.3,2
Kurt Zouma,544,8,4,0,1,12,720,0,0,0,2.2,104764,1,4.5,26
Angelo Ogbonna,577,8,0,0,0,1,111,0,0,0,0.1,-3341,0,4.4,3
Konstantinos Mavropanos,676,8,0,0,0,0,1,0,0,0,0.0,636,0,4.5,1
Rayan Aït-Nouri,545,8,0,0,0,9,515,0,0,0,0.4,-3041,2,4.5,8
Bendegúz Bolla,547,8,0,0,0,0,0,0,0,0,0.6,-31815,0,4.0,0
Hugo Bueno López,548,8,0,0,1,3,140,1,0,0,0.1,-3847,0,4.4,8
Craig Dawson,551,8,0,0,1,14,700,0,0,0,0.3,212,3,4.5,13
Ki-Jana Hoever,556,8,0,0,0,0,0,0,0,0,0.1,-3945,0,4.0,0
Jonathan Castro Otto,560,8,0,0,0,0,4,0,0,0,0.1,-2669,0,4.4,1
Max Kilman,563,8,2,0,1,14,720,0,0,0,0.7,-9930,1,4.5,17
Nélson Cabral Semedo,572,8,0,0,1,14,713,0,0,0,0.4,3464,4,4.5,12
Toti António Gomes,573,8,0,0,0,3,249,0,0,0,0.1,-2695,0,4.4,7
Matt Doherty,598,8,0,0,0,4,136,0,0,0,0.2,-10995,0,4.3,3
Santiago Bueno,697,8,0,0,0,0,0,0,0,0,0.0,241,0,4.5,0
