name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Daniel Jebbison,483,5,0,0,0,0,0,0,0,0.0,4.9,-921,0,0,0.0
Daniel Jebbison,483,6,0,0,0,0,0,0,0,0.0,4.9,-996,0,0,0.0
Daniel Jebbison,483,7,0,0,0,0,0,0,0,0.0,4.8,-1003,0,0,0.0
Daniel Jebbison,483,8,0,0,0,0,0,0,0,0.0,4.8,-988,0,0,0.0
Danny Ings,535,1,0,0,1,12,0,0,0,1.8,6.0,-17125,0,1,0.0
Danny Ings,535,2,0,0,1,12,0,0,0,1.4,5.9,-53607,0,1,0.0
Danny Ings,535,3,0,0,1,17,0,0,0,1.2,5.9,-70766,0,2,0.0
Danny Ings,535,4,0,0,2,27,0,0,0,1.0,5.8,-89427,0,3,0.41666666666666674
Danny Ings,535,5,0,0,2,30,0,0,0,0.9,5.8,-98573,0,4,0.20000000000000018
Danny Ings,535,6,0,0,2,33,0,0,0,0.8,5.7,-106386,0,5,-0.3333333333333335
Danny Ings,535,7,0,0,2,33,0,0,0,0.8,5.7,-111192,0,5,-1.0
Danny Ings,535,8,0,0,2,33,0,0,0,0.8,5.7,-113703,0,5,-1.416666666666667
Danny Welbeck,154,1,0,1,0,77,0,0,0,2.4,6.0,-14556,0,2,0.0
Danny Welbeck,154,2,0,1,0,133,0,0,0,1.9,5.9,-57621,0,3,0.0
Danny Welbeck,154,3,0,1,2,192,0,0,0,1.6,5.9,-82047,0,4,0.0
Danny Welbeck,154,4,0,1,2,192,0,0,0,1.0,5.8,-132046,0,4,0.25
Danny Welbeck,154,5,1,2,2,255,0,0,0,1.0,5.8,-142375,0,11,1.1333333333333333
Danny Welbeck,154,6,1,2,3,317,0,0,0,1.1,5.8,-129171,0,13,-0.16666666666666607
Danny Welbeck,154,7,1,2,6,362,0,0,0,1.1,5.8,-134161,1,13,-2.1904761904761907
Danny Welbeck,154,8,1,2,6,392,0,0,0,1.0,5.8,-139518,1,14,-4.333333333333334
Darwin Núñez Ribeiro,293,1,0,0,0,24,0,0,0,13.3,7.5,-76396,0,1,0.0
Darwin Núñez Ribeiro,293,2,0,0,0,28,0,0,0,8.6,7.4,-459911,0,2,0.0
Darwin Núñez Ribeiro,293,3,3,0,0,41,0,0,0,8.1,7.3,-527338,1,13,0.0
Darwin Núñez Ribeiro,293,4,3,1,0,105,0,0,0,11.0,7.4,-285953,1,21,3.916666666666667
Darwin Núñez Ribeiro,293,5,3,1,0,139,0,0,0,11.7,7.4,-221258,1,22,-0.1999999999999993
Darwin Núñez Ribeiro,293,6,3,1,1,219,0,0,0,12.0,7.4,-201288,1,28,-4.166666666666668
Darwin Núñez Ribeiro,293,7,3,1,1,219,0,0,0,12.4,7.4,-164273,1,28,-7.238095238095241
Darwin Núñez Ribeiro,293,8,3,1,3,309,0,0,0,12.4,7.4,-161604,1,33,-7.5
David Datro Fofana,200,1,0,0,0,0,0,0,0,0.0,5.0,-135,0,0,0.0
David Datro Fofana,200,2,0,0,0,0,0,0,0,0.0,5.0,-234,0,0,0.0
David Datro Fofana,200,3,0,0,0,0,0,0,0,0.0,5.0,-258,0,0,0.0
David Datro Fofana,200,4,0,0,0,0,0,0,0,0.0,5.0,-295,0,0,0.0
David Datro Fofana,200,5,0,0,0,0,0,0,0,0.0,5.0,-309,0,0,0.0
David Datro Fofana,200,6,0,0,0,0,0,0,0,0.0,5.0,-323,0,0,0.0
David Datro Fofana,200,7,0,0,0,0,0,0,0,0.0,5.0,-332,0,0,0.0
David Datro Fofana,200,8,0,0,0,0,0,0,0,0.0,5.0,-336,0,0,0.0
Deivid Washington de Souza Eugênio,677,3,0,0,0,0,0,0,0,0.0,4.5,239,0,0,0.0
Deivid Washington de Souza Eugênio,677,4,0,0,0,0,0,0,0,0.0,4.5,1473,0,0,0.0
Deivid Washington de Souza Eugênio,677,5,0,0,0,0,0,0,0,0.0,4.5,2124,0,0,0.0
Deivid Washington de Souza Eugênio,677,6,0,0,0,0,0,0,0,0.1,4.5,2532,0,0,0.0
Deivid Washington de Souza Eugênio,677,7,0,0,0,0,0,0,0,0.1,4.5,2643,0,0,0.0
Deivid Washington de Souza Eugênio,677,8,0,0,0,0,0,0,0,0.1,4.5,2537,0,0,0.0
Deniz Undav,149,1,0,0,0,0,0,0,0,0.0,5.5,-1817,0,0,0.0
Deniz Undav,149,2,0,0,0,0,0,0,0,0.0,5.5,-3148,0,0,0.0
Deniz Undav,149,3,0,0,0,0,0,0,0,0.0,5.5,-3532,0,0,0.0
Deniz Undav,149,4,0,0,0,0,0,0,0,0.0,5.5,-3905,0,0,0.0
Deniz Undav,149,5,0,0,0,0,0,0,0,0.0,5.5,-4023,0,0,0.0
Deniz Undav,149,6,0,0,0,0,0,0,0,0.0,5.5,-4158,0,0,0.0
Deniz Undav,149,7,0,0,0,0,0,0,0,0.0,5.5,-4236,0,0,0.0
Deniz Undav,149,8,0,0,0,0,0,0,0,0.0,5.5,-4278,0,0,0.0
Divin Mubama,538,1,0,0,0,0,0,0,0,11.8,4.5,-19760,0,0,0.0
Divin Mubama,538,2,0,0,0,0,0,0,0,10.2,4.5,-121432,0,0,0.0
Divin Mubama,538,3,0,0,0,0,0,0,0,9.2,4.5,-203892,0,0,0.0
Divin Mubama,538,4,0,0,0,0,0,0,0,8.1,4.4,-290141,0,0,0.0
Divin Mubama,538,5,0,0,0,0,0,0,0,7.5,4.4,-343538,0,0,0.0
Divin Mubama,538,6,0,0,0,0,0,0,0,6.9,4.4,-406602,0,0,0.0
Divin Mubama,538,7,0,0,0,0,0,0,0,6.6,4.3,-440826,0,0,0.0
Divin Mubama,538,8,0,0,0,0,0,0,0,6.4,4.3,-452663,0,0,0.0
