name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Eddie Beach,680,3,0,0,0,0,0,0,0,0.0,57,0,4.0,0,0.0
Eddie Beach,680,4,0,0,0,0,0,0,0,0.0,178,0,4.0,0,0.0
Eddie Beach,680,5,0,0,0,0,0,0,0,0.0,229,0,4.0,0,0.0
Eddie Beach,680,6,0,0,0,0,0,0,0,0.0,252,0,4.0,0,0.0
Ederson Santana de Moraes,352,1,0,1,0,90,0,0,1,16.1,29979,0,5.5,6,0.0
Ederson Santana de Moraes,352,2,0,2,0,180,0,0,2,18.2,165011,0,5.5,12,0.0
Ederson Santana de Moraes,352,3,0,2,1,270,0,0,2,19.8,293892,0,5.5,14,0.0
Ederson Santana de Moraes,352,4,0,2,2,360,0,0,5,21.0,385642,0,5.6,17,1.583333333333334
Ederson Santana de Moraes,352,5,0,2,3,450,0,0,7,21.0,384716,0,5.6,19,-0.7333333333333343
Ederson Santana de Moraes,352,6,0,3,3,540,0,0,10,21.0,381364,1,5.6,25,-1.1666666666666679
Ellery Balcombe,91,1,0,0,0,0,0,0,0,0.3,-95,0,4.0,0,0.0
Ellery Balcombe,91,2,0,0,0,0,0,0,0,0.3,-1186,0,4.0,0,0.0
Ellery Balcombe,91,3,0,0,0,0,0,0,0,0.2,-1968,0,4.0,0,0.0
Ellery Balcombe,91,4,0,0,0,0,0,0,0,0.2,-2837,0,4.0,0,0.0
Ellery Balcombe,91,5,0,0,0,0,0,0,0,0.2,-3492,0,4.0,0,0.0
Ellery Balcombe,91,6,0,0,0,0,0,0,0,0.2,-4149,0,4.0,0,0.0
Emiliano Martínez Romero,49,1,0,0,5,90,0,0,7,8.0,-12309,1,5.0,1,0.0
Emiliano Martínez Romero,49,2,2,1,5,180,0,0,9,8.2,-776,1,5.0,9,0.0
Emiliano Martínez Romero,49,3,2,1,5,180,0,0,9,7.3,-69775,1,5.0,9,0.0
Emiliano Martínez Romero,49,4,2,1,8,270,0,0,11,6.3,-158234,1,4.9,10,0.916666666666667
Emiliano Martínez Romero,49,5,2,1,9,360,0,0,13,6.4,-153944,1,4.9,12,-1.1333333333333346
Emiliano Martínez Romero,49,6,2,2,9,450,0,0,17,6.4,-152039,2,4.9,18,-0.5
Ethan Horvath,449,1,0,0,0,0,0,0,0,0.1,-695,0,4.5,0,0.0
Ethan Horvath,449,2,0,0,0,0,0,0,0,0.1,-2069,0,4.5,0,0.0
