name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Sven Botman,405,7,4,1,2,3,446,0,0,0,20.0,249099,1,4.7,30,-3.571428571428571
Takehiro Tomiyasu,25,7,0,0,1,1,151,0,0,0,0.3,-5468,0,4.5,7,-0.9523809523809526
Tariq Lamptey,139,7,0,2,0,5,137,0,0,0,8.5,124740,2,3.9,8,-1.7142857142857144
Teden Mengi,393,7,0,0,0,2,124,0,0,0,0.7,45056,0,3.9,2,0.2857142857142857
Terence Kongolo,274,7,0,0,0,0,0,0,0,0,0.1,-6975,0,4.0,0,0.0
Thiago Emiliano da Silva,217,7,2,0,3,6,630,0,0,0,3.8,55695,0,5.0,27,-3.095238095238095
Thilo Kehrer,537,7,0,0,0,1,18,0,0,0,0.1,-5851,1,4.3,2,-0.2380952380952381
Tim Ream,281,7,4,0,3,10,513,0,0,0,2.1,139617,1,4.5,26,-4.7142857142857135
Timothy Castagne,688,7,3,0,2,3,287,0,0,0,0.6,46680,1,4.5,16,1.916666666666666
Tino Livramento,633,7,0,0,0,0,25,0,0,0,0.2,-8273,0,4.4,3,-0.04761904761904745
Tom Lockyer,575,7,1,0,0,12,505,0,0,0,0.2,-1064,1,4.3,13,0.5238095238095237
Tosin Adarabioyo,286,7,0,0,0,0,1,0,0,0,0.0,-4099,0,4.3,1,-0.2857142857142857
Toti António Gomes,573,7,0,0,0,2,159,0,0,0,0.1,-2798,0,4.4,5,-0.1904761904761907
Trent Alexander-Arnold,290,7,3,1,1,4,342,0,0,0,8.0,-952537,2,7.9,17,-5.571428571428571
Trevoh Chalobah,194,7,0,0,0,0,0,0,0,0,0.1,-14848,0,4.3,0,0.0
Tyrell Malacia,389,7,0,0,0,0,0,0,0,0,0.0,-3703,0,4.3,0,0.0
Tyrick Mitchell,234,7,2,1,3,7,630,0,0,0,1.4,72055,1,4.5,28,-2.19047619047619
Tyrone Mings,51,7,0,0,0,2,30,0,0,0,1.9,-988150,0,4.2,0,0.0
Victor Lindelöf,386,7,0,0,1,5,440,0,0,0,0.3,3767,1,4.5,12,-0.9523809523809526
Victor da Silva,182,7,0,0,0,3,92,0,0,0,0.1,-6726,0,4.4,2,0.1428571428571428
Virgil van Dijk,313,7,2,2,0,6,387,0,0,0,6.6,-344427,1,6.0,12,0.3809523809523814
Vitalii Mykolenko,260,7,1,0,0,4,270,0,0,0,0.2,-5756,0,4.3,6,-0.2857142857142858
Vladimír Coufal,528,7,3,3,1,10,626,0,0,0,1.4,102262,0,4.5,28,-1.1428571428571423
Wesley Fofana,201,7,0,0,0,0,0,0,0,0,0.0,-2249,0,4.4,0,0.0
William Saliba,20,7,2,1,3,6,630,0,0,0,26.3,577185,0,5.2,29,-2.904761904761905
Willy Boly,439,7,3,0,1,9,518,0,0,0,0.6,29327,1,4.5,21,-5.761904761904762
Yasser Larouci,592,7,0,0,0,5,195,0,0,0,0.1,-1967,0,4.4,4,-0.8571428571428572
Álvaro Fernández Carreras,380,7,0,0,0,0,0,0,0,0,0.2,-16552,0,4.0,0,0.0
